Word	Index
	0
aided	1
writings	2
venturewriting	3
websta	4
raining	5
politicsresponsible	6
onthursday	7
foul	8
100b	9
four	10
steyer	11
woods	12
hanging	13
plaudits	14
woody	15
redacted	16
cyprus	17
@joan_riverswas	18
aggression	19
#texasstrong	20
@fbipressoffice	21
increase	22
forza_desiderio	23
@nia_sanchez_	24
pardon	25
granting	26
eligible	27
electricity	28
#healthcarebill	29
opener	30
countrytell	31
lord	32
dogs	33
@tppatriots	34
@spurs	35
jemele	36
consumed	37
sinking	38
digit	39
@upstartbusiness	40
america—she	41
@austan_goolsbee	42
retailers	43
@secretaryzinke	44
#harvey	45
fargo	46
dels	47
crenshaw	48
sotoro	49
bartley	50
unify	51
drehle	52
sleazebags	53
screaming	54
#davos2018	55
identity	56
barraged	57
prize	58
andre	59
wooden	60
wednesday	61
happenings	62
jihad	63
wavered	64
debuting	65
caryl	66
straight	67
53rd	68
@conroecourier	69
@jonkarl	70
infringed	71
tired	72
miller	73
lgbt	74
aides	75
frederick	76
pulse	77
elections	78
270	79
elegant	80
second	81
#vpeotus	82
unchained	83
sustaining	84
278	85
@jay_severin	86
@nycparks	87
monopolies	88
brexit	89
battleground	90
forgetting	91
thunder	92
cooking	93
contributed	94
fingers	95
@yankees	96
bonuses	97
feckless	98
071067	99
resilient	100
saddled	101
increasing	102
suleiman	103
@daveweigel	104
@davidwebbshow	105
27b	106
@tombarrackjr	107
hero	108
crandon	109
reporter	110
donalds	111
leaning	112
whiteish	113
here	114
albuquerque	115
dore	116
reported	117
china	118
dorm	119
parenting	120
gonzalez	121
wiseguy	122
now—beautiful	123
cyclical	124
kids	125
14trump	126
marcos	127
adaptable	128
unsexiest	129
reports	130
controversy	131
@mcubans	132
snowing	133
torched	134
@aberdeencc	135
military	136
carnage	137
@robastorino	138
climber	139
tomorrowspringfield	140
criticism	141
golden	142
divide	143
owed	144
remodeled	145
readout	146
explained	147
replace	148
brought	149
shoddy	150
stern	151
scoffed	152
perils	153
cocaine	154
univ	155
unit	156
opponents	157
cheating	158
spoke	159
dnc	160
browse	161
@williebosshogs	162
@noble74	163
#laurence	164
definiteness	165
q3stock	166
music	167
therefore	168
passport	169
distortions	170
strike	171
105m	172
@marthamaccallum	173
until	174
actthe	175
#newtown	176
soon#wiprimary	177
hu	178
#dday	179
ricketts	180
mired	181
relax	182
successful	183
brings	184
holt	185
underprivileged	186
yahoo	187
militarysomething	188
hurt	189
99	190
98	191
surgeon	192
@hamptonsmag	193
tying	194
91	195
90	196
hole	197
hold	198
95	199
94	200
97	201
96	202
pontifical	203
rotting	204
morally	205
locked	206
brutality	207
unaffiliated	208
@trumpwaikikilt	209
stairs	210
famed	211
9pmyou	212
plunged	213
rulings	214
nazi	215
locker	216
temperatures	217
burnett	218
masterminds	219
admits	220
example	221
grimes	222
jindal	223
100barrel	224
@hatingbreitbart	225
bundlers	226
wand	227
hyatt	228
@joerepublic1	229
household	230
organized	231
currency	232
reviewing	233
want	234
phúc	235
organizer	236
roadblocksthought	237
absolute	238
hof	239
admission	240
#usvi	241
complaining	242
travel	243
@oconnellpostbizbidding	244
pigsty	245
feature	246
comedians	247
revisit	248
machine	249
how	250
louisville	251
w20	252
significance	253
panelour	254
preferable	255
salmond	256
dignified	257
retreating	258
gaming	259
regional	260
22b	261
#columbusday	262
beauty	263
@lvmpd	264
quits	265
imcompetently	266
@charlesgkoch	267
outlawed	268
shores	269
wrong	270
raiders	271
@therealkiyosaki	272
destined	273
mcquaid	274
oksen	275
#peaceofficersmemorialday	276
@johndeere	277
extortion	278
types	279
succinct	280
gravy	281
marginalize	282
@trumpto	283
sioux	284
effective	285
occasions	286
@extratv	287
wins	288
youths	289
#travelerschoice	290
headquarters	291
fictional	292
childhood	293
930pmtickets	294
18th	295
ammo	296
keeps	297
tonight—im	298
floridas	299
democratic	300
wing	301
wind	302
wine	303
senators	304
goplegacy	305
feedback	306
welcomed	307
dreamed	308
misdemeanor	309
outnegotiate	310
@afpfnh	311
ipsosreuters	312
#fitn#trump2016	313
@senatemajldr	314
22000	315
scalia	316
rewarded	317
owens	318
webisode	319
welcomes	320
#votetrumpmitrump	321
@repjeffduncans	322
lovingly	323
@bernardgoldberg	324
fit	325
lifeline	326
bringing	327
fix	328
@nrcc	329
survivors	330
#votetrumpwi	331
dedicate	332
conner	333
@hometownlife	334
wellness	335
@republicanstudy	336
hidden	337
tournier	338
easier	339
jihadis	340
zucker	341
grievous	342
doghouse	343
accruing	344
slate	345
2030	346
aesthetics	347
@travlandleisures	348
educating	349
nations#usaatunga#unga	350
lienow	351
mongering	352
fanastic	353
schools	354
@janinegibson	355
yourself	356
silver	357
saddened	358
competitiveness	359
represents	360
2000000	361
whacking	362
@andrewkreig	363
debut	364
50678	365
dumps	366
garbage—no	367
mob	368
profligate	369
2022	370
timewarner	371
boggling	372
aspen	373
@gaillorene	374
interfering	375
windmill	376
things#letsmakeamericagreatagain	377
financial	378
rink	379
woes	380
concord	381
knockout	382
series	383
#artofthedeal	384
allah	385
bowls	386
crocus	387
hoosier	388
contracting	389
391	390
390	391
substantially	392
3pm#trumppence16	393
truman	394
ring	395
@williampetroski	396
rt	397
drove	398
@shaun_white	399
touts	400
rs	401
carolinas	402
2300	403
@kredo0	404
@bbc	405
rx	406
mason	407
rd	408
re	409
encourage	410
specialties	411
ra	412
5841	413
adv	414
ro	415
strategist	416
@krauthammer	417
foundation	418
hillaryclinton	419
sellout	420
disgraceif	421
threatened	422
surveys	423
39m	424
assures	425
tipping	426
elsewhere	427
@americanthinker	428
change—they	429
crowned	430
estimate	431
obstructing	432
pettitte	433
golovkin	434
enormous	435
ate	436
bates	437
exposing	438
amymek	439
shelves	440
@huizingadanny	441
newscasts	442
graces	443
#fraudnewscnn	444
ministries	445
shipped	446
walmart	447
speedy	448
competed	449
1970s	450
leaps	451
repealed	452
clothes	453
crossings	454
matsuyama	455
@muhammadali	456
#apec2017	457
furnished	458
overtaken	459
dumbass	460
petraeus	461
country—miami	462
227000	463
channels	464
wash	465
spinning	466
@ronkaufmanintrn	467
179	468
178	469
@bobvanderplaats	470
176	471
@pgachampionship	472
sutherland	473
171	474
170	475
seizures	476
carson	477
windmills	478
basketball	479
renovated	480
service	481
@westwoodlee	482
lawsuits	483
engagement	484
cooling	485
rone	486
touting	487
needed	488
#virginias	489
master	490
listed	491
chugging	492
architect	493
higbie	494
legs	495
massively	496
ranging	497
listen	498
17m	499
@scavino45	500
geneva	501
@_katherinewebbs	502
109b	503
satisfaction	504
wisdom	505
ardrossan	506
predictable	507
chairwoman	508
conceded	509
willbe	510
17t	511
#primaryday	512
@hudsonmod	513
positively	514
donaldtrump	515
ahmed	516
peril	517
outlay	518
showed	519
saeed	520
coward	521
surrogate	522
tree	523
10x	524
idly	525
nations	526
project	527
me—a	528
idle	529
readjusted	530
@senscottbrown	531
endure	532
xijinping	533
bodyguards	534
twinkies	535
support#makeamericagreatagain	536
feeling	537
acquisition	538
excoriating	539
este	540
acclaim	541
entail	542
runner	543
boston	544
spectrum	545
#fundanything	546
assetsthe	547
concordia	548
wet	549
thebillmcgee	550
buseyisms	551
alive	552
dozen	553
foundational	554
affairs	555
@secretservice	556
concrete	557
@samsung	558
paramedics	559
60th	560
responsible	561
@jenniffer2012	562
votestand	563
eagerly	564
recommended	565
causing	566
absorbed	567
@splaisance	568
doors	569
@chrysler	570
#oh	571
fheile	572
thay	573
reelection	574
45th	575
withdraw	576
transactions	577
thrilled	578
object	579
@wsjpolitics	580
thehas	581
wells	582
 a	583
swiss	584
mouth	585
cummings	586
letter	587
entry	588
retaining	589
@wendyshow	590
—	591
@teddyschleifer	592
down📉315	593
dummy	594
singer	595
@mrctv	596
episode	597
cops	598
referendums	599
berghdal	600
professor	601
camp	602
acknowledgement	603
@gma	604
makati	605
#changetheworldin5words	606
@podcastone	607
tech	608
detriment	609
suspending	610
itiveness	611
scream	612
came	613
nbpc	614
fonda	615
saying	616
signatures	617
bomb	618
assurances	619
30myr	620
departing	621
165	622
@footwearnews	623
meetings	624
advisors	625
teresa	626
bonnie	627
nominated	628
heckler	629
prix	630
bethpage	631
qaeda	632
malleable	633
whitey	634
participate	635
lethal	636
nominates	637
again#potusabroad	638
priv	639
lessons	640
orleans	641
touches	642
busy	643
layout	644
dawn	645
liberated	646
headline	647
menu	648
port	649
bust	650
mens	651
rico	652
bush	653
bliss	654
touched	655
rich	656
foolishly	657
pickens	658
rice	659
@11alivenews	660
@kevcirilli	661
labeouf	662
klein	663
Élysée	664
#paprimary	665
denounce	666
foremost	667
pocket	668
@billhemmer	669
farmington	670
vaccinations	671
altogether	672
#periscope	673
midterms	674
tips	675
looting	676
droning	677
obsma	678
greens	679
nicely	680
playerhe	681
@katieshow	682
patch	683
kippur	684
@annromneys	685
@josecanseco	686
release	687
bashar	688
isreal	689
attends	690
boarded	691
@zpolitics	692
scrooge	693
respond	694
blew	695
mandatory	696
disaster	697
fair	698
clarified	699
branding	700
mechanism	701
wrong@barackobama	702
recruit	703
wollman	704
goodnight	705
@tripadvisors	706
result	707
fail	708
crouch	709
resigned	710
hammer	711
billand	712
best	713
avert	714
wleadership	715
pressured	716
ambitions	717
lots	718
irs	719
marketeer	720
minnelli	721
stamps	722
r	723
@joan_rivers	724
ira	725
glasgow	726
apples	727
preserve	728
wage	729
lamar	730
men	731
schwarzkopf	732
extend	733
nature	734
fruits	735
generalsecretary	736
27m	737
rides	738
wtc	739
overand	740
70th	741
defiance	742
downgrade	743
carbon	744
debt	745
geronimos	746
havnt	747
51yrs	748
accident	749
veep	750
rima	751
disdain	752
